"DATA PROCESSAMENTO RIPPER","DATA DE REFERENCIA PROCESSADA","ID DO BRT","BRT","ID DA VIAGEM BILHETAGEM","ID DA PERNA BILHETAGEM","ID DO USUÁRIO","SEQUÊNCIA DE UTILIZAÇÃO","SEQUÊNCIA DE DÉBITO","TERMINAIS RELACIONADOS","TARIFA LINHA","PASSAGEIRO EQUIVALENTE","LINHA ID","LINHA CODIFICAÇÃO","EMPRESA EXCLUSIVIDADE","EMPRESA OPERADORA","TOTAL PASSAGEIROS PAGANTES DINHEIRO","DEMANDA TOTAL","RECEITA","CLASSIFICACAO DE VIAGEM","TIPO DE REGRA"
"08/03/2021","06/12/2020","2","BRT NEVES","284008932","","","","","","4,25","","4741","125","104","104","3","16","12,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008934","","","","","","4,25","","4741","125","104","104","0","0","0","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008936","","","","","","4,25","","4741","125","104","104","3","19","12,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008938","","","","","","4,25","","4741","125","104","104","1","3","4,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008941","","","","","","4,25","","4741","125","104","104","5","21","21,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008943","","","","","","4,25","","4741","125","104","104","1","4","4,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008945","","","","","","4,25","","4741","125","104","104","3","26","12,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008947","","","","","","4,25","","4741","125","104","104","6","17","25,5","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","06/12/2020","2","BRT NEVES","284008949","","","","","","4,25","","4741","125","104","104","3","13","12,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
